time_s,undamped,underdamped,critical,overdamped
0.420000,0.0757658489,0.1355548308,0.1864047281,0.2319984830
0.425000,0.0712109052,0.1327269610,0.1847494195,0.2311312609
0.430000,0.0666384974,0.1299019513,0.1831005465,0.2302670085
0.435000,0.0620497469,0.1270804544,0.1814583087,0.2294057326
0.440000,0.0574457789,0.1242631144,0.1798228981,0.2285474393
0.445000,0.0528277227,0.1214505660,0.1781944991,0.2276921334
0.450000,0.0481967107,0.1186434352,0.1765732885,0.2268398186
0.455000,0.0435538787,0.1158423385,0.1749594362,0.2259904978
0.460000,0.0389003654,0.1130478835,0.1733531050,0.2251441728
0.465000,0.0342373119,0.1102606687,0.1717544506,0.2243008448
0.470000,0.0295658620,0.1074812830,0.1701636225,0.2234605141
0.475000,0.0248871611,0.1047103065,0.1685807633,0.2226231802
0.480000,0.0202023568,0.1019483098,0.1670060096,0.2217888421
0.485000,0.0155125979,0.0991958542,0.1654394915,0.2209574979
0.490000,0.0108190347,0.0964534917,0.1638813335,0.2201291454
0.495000,0.0061228181,0.0937217650,0.1623316538,0.2193037817
0.500000,0.0014251000,0.0910012075,0.1607905652,0.2184814032
0.505000,-0.0032729676,0.0882923431,0.1592581750,0.2176620063
0.510000,-0.0079702326,0.0855956866,0.1577345848,0.2168455864
0.515000,-0.0126655429,0.0829117430,0.1562198912,0.2160321390
0.520000,-0.0173577470,0.0802410082,0.1547141856,0.2152216587
0.525000,-0.0220456942,0.0775839687,0.1532175543,0.2144141402
0.530000,-0.0267282349,0.0749411015,0.1517300789,0.2136095776
0.535000,-0.0314042206,0.0723128744,0.1502518362,0.2128079647
0.540000,-0.0360725045,0.0696997454,0.1487828985,0.2120092951
0.545000,-0.0407319419,0.0671021636,0.1473233334,0.2112135621
0.550000,-0.0453813899,0.0645205685,0.1458732044,0.2104207587
0.555000,-0.0500197084,0.0619553901,0.1444325706,0.2096308778
0.560000,-0.0546457598,0.0594070492,0.1430014871,0.2088439119
0.565000,-0.0592584096,0.0568759574,0.1415800049,0.2080598535
0.570000,-0.0638565265,0.0543625167,0.1401681712,0.2072786947
0.575000,-0.0684389830,0.0518671199,0.1387660293,0.2065004277
0.580000,-0.0730046552,0.0493901505,0.1373736188,0.2057250442
0.585000,-0.0775524233,0.0469319827,0.1359909760,0.2049525361
0.590000,-0.0820811721,0.0444929817,0.1346181335,0.2041828950
0.595000,-0.0865897909,0.0420735031,0.1332551205,0.2034161123
0.600000,-0.0910771740,0.0396738936,0.1319019630,0.2026521795
0.605000,-0.0955422209,0.0372944907,0.1305586838,0.2018910878
